area,,almond,angelica,anise,anise_seed,apple,apple_brandy,apricot,armagnac,artemisia,artichoke,asparagus,avocado,bacon,baked_potato,balm,banana,barley,bartlett_pear,basil,bay,bean,beech,beef,beef_broth,beef_liver,beer,beet,bell_pepper,bergamot,berry,bitter_orange,black_bean,black_currant,black_mustard_seed_oil,black_pepper,black_raspberry,black_sesame_seed,black_tea,blackberry,blackberry_brandy,blue_cheese,blueberry,bone_oil,bourbon_whiskey,brandy,brassica,bread,broccoli,brown_rice,brussels_sprout,buckwheat,butter,buttermilk,cabbage,cabernet_sauvignon_wine,cacao,camembert_cheese,cane_molasses,caraway,cardamom,carnation,carob,carrot,cashew,cassava,catfish,cauliflower,caviar,cayenne,celery,celery_oil,cereal,chamomile,champagne_wine,chayote,cheddar_cheese,cheese,cherry,cherry_brandy,chervil,chicken,chicken_broth,chicken_liver,chickpea,chicory,chinese_cabbage,chive,cider,cilantro,cinnamon,citrus,citrus_peel,clam,clove,cocoa,coconut,coconut_oil,cod,coffee,cognac,concord_grape,condiment,coriander,corn,corn_flake,corn_grit,cottage_cheese,crab,cranberry,cream,cream_cheese,cucumber,cumin,cured_pork,currant,date,dill,durian,eel,egg,egg_noodle,elderberry,emmental_cheese,endive,enokidake,fennel,fenugreek,feta_cheese,fig,fish,flower,frankfurter,fruit,galanga,gardenia,garlic,gelatin,geranium,gin,ginger,goat_cheese,grape,grape_brandy,grape_juice,grapefruit,green_bell_pepper,green_tea,gruyere_cheese,guava,haddock,ham,hazelnut,herring,holy_basil,honey,hop,horseradish,huckleberry,jamaican_rum,japanese_plum,jasmine,jasmine_tea,juniper_berry,kale,katsuobushi,kelp,kidney_bean,kiwi,kohlrabi,kumquat,lamb,lard,laurel,lavender,leaf,leek,lemon,lemon_juice,lemon_peel,lemongrass,lentil,lettuce,licorice,lilac_flower_oil,lima_bean,lime,lime_juice,lime_peel_oil,lingonberry,litchi,liver,lobster,lovage,macadamia_nut,macaroni,mace,mackerel,malt,mandarin,mandarin_peel,mango,maple_syrup,marjoram,mate,matsutake,meat,melon,milk,milk_fat,mint,mozzarella_cheese,mung_bean,munster_cheese,muscat_grape,mushroom,mussel,mustard,mutton,nectarine,nira,nut,nutmeg,oat,oatmeal,octopus,okra,olive,olive_oil,onion,orange,orange_flower,orange_juice,orange_peel,oregano,ouzo,oyster,palm,papaya,parmesan_cheese,parsley,parsnip,passion_fruit,pea,peach,peanut,peanut_butter,peanut_oil,pear,pear_brandy,pecan,pelargonium,pepper,peppermint,peppermint_oil,pimenta,pimento,pineapple,pistachio,plum,popcorn,porcini,pork,pork_liver,pork_sausage,port_wine,potato,potato_chip,prawn,prickly_pear,provolone_cheese,pumpkin,quince,radish,raisin,rapeseed,raspberry,raw_beef,red_algae,red_bean,red_kidney_bean,red_wine,rhubarb,rice,roasted_almond,roasted_beef,roasted_hazelnut,roasted_meat,roasted_nut,roasted_peanut,roasted_pecan,roasted_pork,roasted_sesame_seed,romano_cheese,root,roquefort_cheese,rose,rosemary,rum,rutabaga,rye_bread,rye_flour,saffron,sage,sake,salmon,salmon_roe,sassafras,sauerkraut,savory,scallion,scallop,sea_algae,seaweed,seed,sesame_oil,sesame_seed,shallot,sheep_cheese,shellfish,sherry,shiitake,shrimp,smoke,smoked_fish,smoked_salmon,smoked_sausage,sour_cherry,sour_milk,soy_sauce,soybean,soybean_oil,spearmint,squash,squid,star_anise,starch,strawberry,strawberry_jam,strawberry_juice,sturgeon_caviar,sumac,sunflower_oil,sweet_potato,swiss_cheese,tabasco_pepper,tamarind,tangerine,tarragon,tea,tequila,thai_pepper,thyme,tomato,tomato_juice,truffle,tuna,turkey,turmeric,turnip,vanilla,veal,vegetable,vegetable_oil,vinegar,violet,walnut,wasabi,watercress,watermelon,wheat,wheat_bread,whiskey,white_bread,white_wine,whole_grain_wheat_flour,wine,wood,yam,yeast,yogurt,zucchini
African,7558,44,0,2,1,6,0,23,0,0,1,0,1,1,0,0,4,4,0,8,15,10,0,31,7,0,0,3,103,0,0,0,1,0,0,98,0,0,0,0,0,0,0,2,0,3,3,22,3,1,0,0,68,0,4,0,0,0,11,26,19,0,0,49,0,3,0,4,0,116,13,0,0,0,0,0,0,3,0,0,2,70,58,0,39,0,0,1,1,80,113,1,0,0,0,2,9,0,8,1,0,0,2,104,7,0,0,1,0,2,14,1,8,166,0,7,11,2,0,0,48,0,0,0,0,0,16,19,4,2,21,2,0,1,0,0,160,3,0,0,83,2,0,0,3,0,13,0,0,0,2,0,4,0,0,42,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,46,7,0,0,0,5,57,81,8,1,10,2,0,0,1,4,10,3,0,0,0,2,0,0,9,2,0,0,0,0,4,0,5,0,0,7,0,22,5,33,0,0,0,0,3,1,8,0,0,0,7,12,0,0,1,2,44,196,188,15,1,12,7,4,0,0,0,1,5,70,3,1,9,1,3,13,7,4,0,2,0,67,0,1,0,2,3,6,12,0,0,1,0,1,0,20,0,1,0,0,2,2,2,47,0,0,0,0,0,0,18,0,25,0,1,0,0,0,6,0,0,3,0,0,0,5,4,1,2,0,1,38,1,0,2,0,0,0,0,16,0,0,0,22,0,12,8,0,0,3,0,6,5,0,0,0,0,0,2,1,0,0,15,1,1,5,0,0,0,0,0,1,11,0,1,3,0,0,0,0,1,17,100,0,0,2,2,59,9,8,2,14,60,29,0,7,0,0,0,114,1,0,2,12,4,4,0,2,9,7,25
EastAsian,57858,25,0,0,4,19,0,4,0,12,0,10,20,23,0,0,6,40,0,11,8,96,1,459,138,2,4,7,200,0,0,1,28,0,0,761,0,24,4,0,0,0,0,22,0,2,27,37,30,7,1,39,67,0,109,0,0,0,78,1,0,0,0,367,2,0,0,1,2,1008,31,46,0,0,1,0,1,7,5,0,0,216,92,0,0,14,157,14,11,62,43,17,3,126,0,4,10,0,21,1,2,0,0,30,88,3,0,0,40,0,24,8,241,19,0,0,3,1,0,20,566,6,0,0,1,102,2,19,0,1,507,0,4,9,0,8,1302,6,0,1,818,0,2,0,5,1,12,15,1,0,0,29,0,0,0,105,0,6,0,0,12,0,0,0,3,46,178,0,4,1,1,3,11,0,0,0,10,47,43,3,0,1,78,1,0,2,7,20,2,0,1,1,2,0,0,12,1,40,1,3,6,5,4,0,0,50,37,5,51,2,11,2,14,0,0,170,32,80,0,0,64,164,6,0,2,32,0,3,33,590,20,0,9,3,0,0,145,2,0,3,42,0,0,63,0,46,11,54,88,0,1,0,136,0,0,0,0,20,1,7,0,0,245,0,10,0,88,0,0,0,0,139,0,305,20,0,1,2,2,32,0,25,0,849,0,2,0,0,0,6,0,3,492,0,5,0,0,1,1,0,0,0,0,0,465,16,3,0,1,1,1188,18,4,173,7,937,185,25,0,23,51,317,356,2,0,4,0,1,0,1357,626,0,0,1,144,21,346,4,0,0,0,0,0,25,0,9,11,10,1,1,0,11,3,92,0,0,40,2,19,6,12,2,543,760,543,0,21,55,5,4,441,0,0,1,30,1,150,0,0,41,3,4
EasternEuropean,8975,15,0,2,0,18,0,18,0,0,0,1,0,29,0,0,2,1,0,5,18,3,0,49,20,0,1,22,50,0,0,0,0,1,0,87,0,0,1,1,0,0,0,1,0,6,0,28,0,1,2,6,200,3,39,0,0,0,25,21,1,0,0,27,1,0,0,0,2,13,21,6,0,0,3,0,9,21,7,4,0,25,20,3,1,0,0,17,7,3,34,1,0,2,0,19,1,0,1,5,0,0,0,2,15,0,1,13,0,2,110,19,9,7,1,5,0,43,0,0,197,23,0,0,0,0,1,2,2,0,6,0,0,8,0,0,88,4,0,0,6,0,0,0,2,0,20,0,1,0,0,3,10,0,0,13,0,9,0,0,0,0,0,4,0,0,0,1,0,1,0,8,23,0,0,0,4,32,25,5,0,1,4,0,0,0,0,2,0,0,0,1,0,1,0,7,4,0,0,0,0,0,0,13,0,0,14,0,93,21,3,4,0,0,0,24,0,15,0,0,0,5,13,0,0,0,1,3,37,161,11,0,4,3,4,0,0,0,0,3,46,3,0,5,0,0,0,0,1,0,3,0,52,0,0,0,0,0,2,9,0,1,20,0,17,0,72,0,0,0,0,1,0,2,30,0,2,0,0,0,0,14,0,19,0,3,0,0,0,0,0,3,1,0,1,0,0,2,7,1,4,4,1,3,0,2,2,0,28,3,10,1,0,0,36,0,1,6,0,0,1,2,0,8,0,2,16,2,0,2,0,0,0,0,0,0,10,5,0,0,0,0,0,2,5,5,10,0,1,1,0,0,12,63,3,0,0,2,0,3,56,5,9,82,50,1,21,0,1,0,197,1,4,5,16,1,1,0,0,48,6,1
LatinAmerican,65958,57,0,9,17,26,0,10,0,0,1,5,288,90,1,0,38,2,1,82,79,288,0,475,49,0,30,7,604,0,0,8,216,0,0,576,0,0,1,3,0,3,2,0,1,15,4,132,10,26,0,0,416,42,37,0,0,0,174,0,0,0,0,104,4,9,4,3,0,1945,118,40,1,0,2,11,495,543,12,0,0,420,259,0,18,5,0,26,50,723,182,10,0,10,0,79,59,1,11,24,2,0,0,83,868,2,50,22,21,4,525,111,46,833,12,1,1,19,0,0,519,9,0,0,2,0,20,13,9,1,66,0,0,10,0,1,1752,8,0,1,52,14,12,0,16,12,333,0,1,4,3,37,4,0,0,64,0,4,0,0,0,0,0,0,1,2,0,100,8,0,0,10,174,0,0,2,4,52,141,5,0,8,173,0,0,11,225,411,21,0,0,0,6,3,0,75,1,0,2,2,0,46,1,10,0,0,60,6,334,47,41,51,0,2,0,108,4,98,0,1,0,12,28,6,1,1,4,259,556,1905,61,1,82,7,529,0,6,3,7,37,145,1,3,38,12,7,7,6,12,0,33,0,640,0,0,0,27,50,0,8,4,1,143,0,80,1,133,0,0,14,0,18,0,31,50,0,10,0,0,0,9,68,0,215,0,19,0,1,0,8,0,15,1,2,4,0,0,21,35,0,0,0,5,8,6,9,0,0,1,0,385,8,0,0,96,5,22,23,0,0,23,8,89,25,0,1,8,0,1,53,6,0,0,32,3,0,49,13,0,0,0,0,0,13,5,96,75,1,4,0,64,1,72,1578,20,0,17,82,26,2,115,1,53,732,397,0,19,2,5,6,660,2,1,12,58,16,15,0,2,63,21,56
MiddleEastern,15213,52,0,0,1,31,0,30,0,0,6,10,3,0,0,0,4,3,0,14,22,9,0,48,5,0,1,8,68,0,1,0,1,0,0,145,0,0,1,4,0,0,0,4,0,11,2,69,2,1,0,1,165,0,6,1,0,0,35,10,25,0,0,63,2,0,1,5,1,73,25,0,0,0,1,0,1,8,1,0,2,63,57,3,35,1,0,13,4,65,124,1,0,0,1,23,9,0,2,9,0,0,2,58,13,2,0,6,1,3,44,9,33,115,0,6,19,39,0,0,239,10,0,0,2,0,10,14,15,10,20,1,0,5,0,0,211,3,0,0,37,1,2,0,8,1,10,0,0,0,0,0,9,0,0,43,0,9,0,0,0,0,0,0,0,0,0,2,0,1,0,48,16,0,0,1,21,88,159,26,2,10,15,0,0,1,5,12,0,0,0,1,0,0,0,12,3,0,0,2,0,1,2,5,0,0,12,1,43,13,73,5,0,0,0,8,0,6,0,0,0,26,17,1,0,0,1,25,261,220,36,3,35,15,19,0,0,0,0,7,133,8,0,10,1,0,0,3,7,0,11,0,86,0,0,0,0,3,21,14,0,4,2,0,1,0,48,0,0,0,0,4,3,5,40,0,7,0,0,0,0,30,2,27,0,3,0,0,0,0,0,0,25,0,3,0,18,17,3,1,0,4,16,7,0,4,0,0,0,1,57,1,0,0,21,0,26,12,0,0,4,1,4,5,0,2,1,1,0,4,4,0,0,12,0,1,31,17,0,0,0,9,1,15,0,1,2,1,5,3,0,2,35,109,3,0,2,3,35,8,45,6,23,131,41,0,51,0,2,0,272,0,1,1,20,8,8,0,7,21,56,30
NorthAmerican,998123,1658,1,124,23,2129,25,458,4,0,256,309,318,1717,8,3,885,162,17,2414,906,1177,0,3139,419,7,229,154,3751,6,157,51,222,8,3,6254,8,0,24,142,3,331,441,7,147,262,63,3411,744,287,77,19,17088,1418,596,13,32,4,6875,117,165,3,7,2333,149,2,59,252,16,3897,2991,825,198,2,75,14,2417,1871,969,18,21,3737,2252,25,227,61,1,1033,966,892,4566,90,0,211,7,4338,1361,13,93,568,23,12,5,707,3428,211,108,258,449,871,8124,2567,1212,1449,170,143,314,879,0,0,16738,236,4,0,54,0,471,509,420,78,656,18,26,375,5,0,10101,1274,1,62,2254,163,283,0,572,91,1980,12,19,8,18,943,161,3,0,1955,2,339,9,0,0,4,1,9,59,1,0,288,74,3,21,210,2552,2,36,2,224,2221,3755,508,30,150,713,18,1,117,702,766,68,3,7,24,90,133,99,1924,89,0,28,268,2,249,453,440,1,0,654,134,10996,562,487,764,1,24,1,2506,46,3475,2,45,0,764,2120,1216,52,0,81,1018,5553,12311,1302,4,1445,423,1938,1,162,17,29,2014,3683,102,15,751,476,337,917,100,299,8,2075,1,7000,139,8,0,217,1489,130,178,92,44,1300,3,941,35,2562,64,17,6,107,589,13,108,1445,0,681,0,0,0,50,823,155,1720,2,163,1,14,1,103,1,93,58,124,36,16,26,1387,463,21,73,92,61,730,135,345,4,18,126,87,2293,161,0,13,935,330,364,721,0,1,394,115,790,308,6,64,218,32,45,1620,330,2,4,433,21,37,1920,948,0,0,1,4,1,427,458,800,1419,21,355,77,74,29,2241,5822,133,24,318,736,623,114,8081,74,818,7808,5666,4,2444,44,94,88,16532,67,122,284,1291,614,486,30,64,2811,700,759
NorthernEuropean,6271,46,0,0,4,14,0,1,0,0,0,0,2,3,0,0,1,1,0,0,6,2,0,13,4,0,1,10,5,0,2,1,0,0,0,33,0,0,0,2,0,1,2,0,1,6,0,14,0,0,0,0,159,8,8,0,0,0,31,12,33,0,0,14,0,0,0,2,1,0,5,1,1,0,0,0,1,4,4,0,1,3,3,0,0,0,0,8,7,1,38,2,0,1,0,6,4,0,0,3,1,0,0,9,9,1,0,0,1,1,72,2,11,8,1,3,1,26,0,0,131,1,0,0,0,0,4,5,0,0,6,0,0,3,0,0,8,5,0,0,12,0,0,0,0,0,1,0,0,0,0,5,1,7,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,13,0,0,0,2,12,16,1,0,0,7,1,0,0,0,2,0,5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,56,6,1,0,0,0,0,1,2,21,0,0,0,1,14,5,0,0,0,1,11,39,18,0,4,3,0,0,0,0,0,0,12,1,0,4,0,0,0,0,3,0,4,0,29,0,0,0,0,1,0,6,0,0,10,0,2,5,28,0,0,0,0,0,0,3,12,0,2,0,0,0,0,8,1,4,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2,1,9,18,1,1,0,5,1,0,0,0,4,1,0,0,14,0,0,4,0,0,3,0,8,3,0,5,0,1,0,0,0,0,0,1,0,0,11,2,0,0,0,0,0,0,0,1,3,0,2,1,0,0,3,5,0,0,0,1,5,2,38,3,3,32,38,0,8,0,0,0,145,0,1,1,13,3,3,0,0,23,2,0
SouthAsian,13468,26,0,0,3,20,0,8,0,0,0,3,0,1,0,0,5,3,0,4,41,14,0,18,4,0,0,2,106,0,3,1,0,0,24,122,0,0,5,1,0,0,2,0,0,2,4,15,4,6,0,0,132,9,5,0,0,0,30,3,96,0,0,57,30,0,0,27,0,299,21,5,0,0,0,0,1,5,1,0,0,131,45,0,28,1,0,5,13,180,107,0,0,3,0,5,84,2,4,3,0,0,0,293,22,0,0,0,4,2,59,2,25,374,0,5,2,2,0,0,49,0,0,0,0,0,17,172,3,0,12,0,0,1,1,0,294,2,0,0,263,1,6,0,3,0,13,0,0,0,1,0,0,0,0,14,0,0,0,0,0,3,0,0,1,0,0,5,2,0,0,22,5,0,0,0,1,19,94,1,2,32,9,0,0,2,29,33,2,0,0,0,1,0,0,5,4,0,1,0,0,49,0,0,0,0,9,2,61,12,47,0,1,0,0,6,0,59,0,0,0,10,19,0,0,0,9,1,93,316,7,0,2,1,4,0,0,2,1,4,20,2,1,49,8,9,4,6,5,0,0,0,187,2,0,0,0,8,9,1,0,1,4,0,0,0,74,1,4,0,0,3,0,4,35,0,1,0,0,0,0,4,0,100,0,3,0,0,0,6,0,0,0,0,1,0,6,1,1,0,0,0,17,1,0,9,0,0,0,1,37,5,0,0,49,7,3,10,0,0,5,0,24,3,0,0,0,0,0,7,9,0,0,3,0,2,7,3,0,0,0,0,4,6,0,3,32,0,0,8,0,1,4,175,1,0,0,3,318,4,15,0,24,265,55,0,4,0,2,2,75,1,0,1,11,9,4,0,3,10,148,13
SoutheastAsian,9436,3,0,1,0,4,0,1,0,0,0,5,1,0,0,0,8,0,0,74,12,62,0,53,6,0,0,0,70,0,0,0,1,0,0,88,0,0,0,0,0,0,0,1,0,0,0,24,7,1,1,1,32,0,29,0,0,0,53,0,3,0,0,69,5,1,3,0,0,190,10,9,0,0,0,1,1,3,0,0,1,136,72,0,0,1,0,7,7,162,14,0,0,4,0,0,129,0,0,2,0,0,0,122,22,0,0,0,10,0,16,1,51,101,0,0,0,2,1,0,62,3,0,0,0,0,1,70,0,0,225,0,0,1,28,0,283,0,0,0,153,0,0,0,2,3,11,0,0,0,0,1,0,0,2,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,17,26,3,96,0,32,0,0,0,84,131,2,0,0,0,0,0,2,17,1,0,0,1,1,17,1,2,0,0,6,0,20,1,73,1,3,0,0,26,6,7,0,0,0,8,3,0,0,0,0,1,35,126,3,0,1,0,5,0,20,13,5,1,8,0,0,20,0,42,37,23,1,0,1,0,123,0,0,0,0,9,0,0,0,0,39,1,2,0,8,0,3,0,1,5,0,12,4,0,0,0,0,0,0,1,0,162,0,3,0,0,0,36,0,2,2,0,14,0,0,2,1,0,0,0,1,2,3,4,0,0,0,0,128,5,0,0,10,48,10,69,0,0,6,13,80,0,0,0,0,0,0,144,26,0,0,5,7,16,24,0,0,0,0,0,0,3,0,10,22,2,1,3,0,40,3,54,0,0,2,1,90,0,7,0,6,180,97,1,1,0,5,0,41,0,0,0,18,1,20,0,2,8,2,7
SouthernEuropean,96696,209,0,47,22,24,0,27,1,0,113,66,11,125,0,0,7,4,3,1059,188,173,0,318,70,0,7,11,737,0,11,5,4,1,0,1039,0,0,0,10,0,53,7,3,1,34,4,499,78,5,8,0,1020,71,39,2,2,0,95,4,8,0,0,233,2,7,1,18,0,327,227,13,1,0,8,0,49,652,36,1,5,339,439,12,55,39,1,71,10,66,171,15,0,88,2,139,23,0,22,52,2,0,0,50,177,4,2,40,13,14,523,69,91,101,124,24,11,61,0,0,1096,10,0,0,34,0,293,12,162,33,255,4,0,25,0,0,2181,52,0,0,36,54,27,8,162,4,172,0,4,1,2,192,54,0,0,134,0,5,1,0,0,0,0,6,29,0,0,36,2,0,1,78,76,0,4,1,50,343,442,107,1,22,61,0,0,11,20,24,2,0,0,8,16,4,0,978,2,0,0,1,0,7,1,38,0,4,73,8,525,134,125,419,0,0,0,320,40,74,0,2,1,180,125,4,1,10,2,360,2612,1451,139,4,60,69,643,8,11,1,1,1007,1025,4,0,104,14,2,0,4,23,2,17,0,459,1,0,2,23,12,27,17,0,46,117,0,269,2,210,0,1,0,56,20,7,10,67,3,26,0,0,0,0,277,2,226,1,13,0,0,0,0,0,5,5,143,5,1,3,372,36,0,3,5,71,122,0,12,1,0,0,10,155,42,0,1,46,1,24,140,1,2,91,37,145,67,0,10,11,4,0,13,21,0,1,46,44,3,64,36,0,0,0,1,1,4,8,18,32,0,35,0,3,2,378,1593,16,19,39,54,22,7,269,72,102,315,417,0,82,0,7,4,1027,6,4,42,486,40,127,1,4,225,70,160
