ingredients,variable,value
mackerel,mackerel,0.0
black_pepper,mackerel,0.0
peanut_butter,mackerel,0.0
black_mustard_seed_oil,mackerel,0.0
celery_oil,mackerel,0.0015923566879
red_bean,mackerel,0.0
almond,mackerel,0.0
bacon,mackerel,0.0
lavender,mackerel,0.0
litchi,mackerel,0.0
jasmine,mackerel,0.0
maple_syrup,mackerel,0.0
smoke,mackerel,0.0
soybean,mackerel,0.0015923566879
blueberry,mackerel,0.0
red_kidney_bean,mackerel,0.0
pecan,mackerel,0.0
smoked_sausage,mackerel,0.0
chayote,mackerel,0.0
honey,mackerel,0.0
cottage_cheese,mackerel,0.0
hop,mackerel,0.0
wine,mackerel,0.0
orange_juice,mackerel,0.0
roasted_sesame_seed,mackerel,0.0015923566879
avocado,mackerel,0.0
tomato_juice,mackerel,0.0
fig,mackerel,0.0
savory,mackerel,0.0
coffee,mackerel,0.0
bread,mackerel,0.0
meat,mackerel,0.0
thyme,mackerel,0.0
citrus_peel,mackerel,0.0
rosemary,mackerel,0.0
prawn,mackerel,0.0
turnip,mackerel,0.0
sweet_potato,mackerel,0.0
black_sesame_seed,mackerel,0.0
roasted_hazelnut,mackerel,0.0
raisin,mackerel,0.0
garlic,mackerel,0.0031847133758
cheddar_cheese,mackerel,0.0
pimento,mackerel,0.0
lettuce,mackerel,0.0
tamarind,mackerel,0.0
licorice,mackerel,0.0
cereal,mackerel,0.0
hazelnut,mackerel,0.0
ginger,mackerel,0.000796178343949
seed,mackerel,0.0
mint,mackerel,0.0
goat_cheese,mackerel,0.0
watercress,mackerel,0.0
macadamia_nut,mackerel,0.0
pineapple,mackerel,0.0
armagnac,mackerel,0.0
tequila,mackerel,0.0
sage,mackerel,0.0
fennel,mackerel,0.0
chamomile,mackerel,0.0
shellfish,mackerel,0.0
milk_fat,mackerel,0.0
celery,mackerel,0.0
mung_bean,mackerel,0.0
rice,mackerel,0.0
sour_milk,mackerel,0.0
watermelon,mackerel,0.0
sheep_cheese,mackerel,0.0
bay,mackerel,0.0
grape_juice,mackerel,0.0
nut,mackerel,0.0
yogurt,mackerel,0.0
lemon_peel,mackerel,0.0
huckleberry,mackerel,0.0
cod,mackerel,0.0
lime_juice,mackerel,0.0
beef,mackerel,0.0
shiitake,mackerel,0.0
parsley,mackerel,0.0
beer,mackerel,0.0
horseradish,mackerel,0.0
beet,mackerel,0.0
basil,mackerel,0.0
roasted_beef,mackerel,0.0
mushroom,mackerel,0.0011722595775
baked_potato,mackerel,0.0
chervil,mackerel,0.0
carnation,mackerel,0.0
vegetable,mackerel,0.0
papaya,mackerel,0.0
tuna,mackerel,0.0
butter,mackerel,0.0
orange_peel,mackerel,0.0
kale,mackerel,0.0
ham,mackerel,0.0
cherry,mackerel,0.0
cognac,mackerel,0.0
galanga,mackerel,0.0
okra,mackerel,0.0
eel,mackerel,0.0
bartlett_pear,mackerel,0.0
lingonberry,mackerel,0.0
plum,mackerel,0.0
octopus,mackerel,0.0
gin,mackerel,0.0
whiskey,mackerel,0.0
cacao,mackerel,0.0
strawberry_jam,mackerel,0.0
leek,mackerel,0.0
rapeseed,mackerel,0.0
caraway,mackerel,0.0
potato,mackerel,0.0
cherry_brandy,mackerel,0.0
lemon_juice,mackerel,0.00196843792144
sunflower_oil,mackerel,0.0
anise_seed,mackerel,0.0
milk,mackerel,0.0
grape,mackerel,0.0
camembert_cheese,mackerel,0.0
melon,mackerel,0.0
thai_pepper,mackerel,0.0
yeast,mackerel,0.0
grape_brandy,mackerel,0.0
pork,mackerel,0.0
currant,mackerel,0.0
frankfurter,mackerel,0.0
corn,mackerel,0.0015923566879
corn_flake,mackerel,0.0
root,mackerel,0.0
cinnamon,mackerel,0.0
carob,mackerel,0.0
radish,mackerel,0.0031847133758
raspberry,mackerel,0.0
sake,mackerel,0.00875796178344
olive,mackerel,0.0
spearmint,mackerel,0.0
gelatin,mackerel,0.0
date,mackerel,0.0
mango,mackerel,0.0
coconut_oil,mackerel,0.0
chickpea,mackerel,0.0
beef_broth,mackerel,0.000796178343949
rye_flour,mackerel,0.0
kelp,mackerel,0.000796178343949
cheese,mackerel,0.0
bitter_orange,mackerel,0.0
cassava,mackerel,0.0
cane_molasses,mackerel,0.0
coconut,mackerel,0.0
port_wine,mackerel,0.0
egg,mackerel,0.0
rye_bread,mackerel,0.0
beech,mackerel,0.0
nectarine,mackerel,0.0
pumpkin,mackerel,0.0
cumin,mackerel,0.0
mutton,mackerel,0.0
roasted_peanut,mackerel,0.0
roasted_meat,mackerel,0.0
mandarin,mackerel,0.0
brassica,mackerel,0.0
berry,mackerel,0.0
tabasco_pepper,mackerel,0.0
turkey,mackerel,0.0
red_wine,mackerel,0.0
squash,mackerel,0.0
jamaican_rum,mackerel,0.0
passion_fruit,mackerel,0.0
macaroni,mackerel,0.0
catfish,mackerel,0.0
lemon,mackerel,0.000376081233546
salmon_roe,mackerel,0.0
brown_rice,mackerel,0.0
veal,mackerel,0.0
cilantro,mackerel,0.0
rose,mackerel,0.0
cayenne,mackerel,0.0015923566879
endive,mackerel,0.0
clam,mackerel,0.0
blackberry,mackerel,0.0
lobster,mackerel,0.0
chicken_liver,mackerel,0.0
shrimp,mackerel,0.000796178343949
pistachio,mackerel,0.0
swiss_cheese,mackerel,0.0
chive,mackerel,0.0
white_bread,mackerel,0.0
cured_pork,mackerel,0.0
anise,mackerel,0.0
strawberry,mackerel,0.0
cream,mackerel,0.0
angelica,mackerel,0.0
roasted_almond,mackerel,0.0
pear,mackerel,0.0
brandy,mackerel,0.0
brussels_sprout,mackerel,0.0
porcini,mackerel,0.0
lima_bean,mackerel,0.0
kidney_bean,mackerel,0.0
apple_brandy,mackerel,0.0
egg_noodle,mackerel,0.0
tea,mackerel,0.0
bergamot,mackerel,0.0
sesame_oil,mackerel,0.0011722595775
guava,mackerel,0.0
roquefort_cheese,mackerel,0.0
herring,mackerel,0.0
malt,mackerel,0.0
enokidake,mackerel,0.000796178343949
durian,mackerel,0.0
muscat_grape,mackerel,0.0
turmeric,mackerel,0.0
katsuobushi,mackerel,0.0
raw_beef,mackerel,0.0
ouzo,mackerel,0.0
wasabi,mackerel,0.0
juniper_berry,mackerel,0.0
chicken_broth,mackerel,0.0
fish,mackerel,0.0015923566879
lemongrass,mackerel,0.0
flower,mackerel,0.0
roasted_nut,mackerel,0.0
quince,mackerel,0.0
concord_grape,mackerel,0.0
fruit,mackerel,0.0
black_tea,mackerel,0.0
orange_flower,mackerel,0.0
scallion,mackerel,0.00238853503185
banana,mackerel,0.0
gruyere_cheese,mackerel,0.0
blackberry_brandy,mackerel,0.0
haddock,mackerel,0.0
kiwi,mackerel,0.0
corn_grit,mackerel,0.0
sherry,mackerel,0.0
salmon,mackerel,0.000796178343949
mace,mackerel,0.0
oyster,mackerel,0.0
soybean_oil,mackerel,0.0
laurel,mackerel,0.0
elderberry,mackerel,0.0
blue_cheese,mackerel,0.0
olive_oil,mackerel,0.000752162467093
scallop,mackerel,0.0
pear_brandy,mackerel,0.0
provolone_cheese,mackerel,0.0
red_algae,mackerel,0.0
buttermilk,mackerel,0.0
vinegar,mackerel,0.00356079460934
liver,mackerel,0.0
potato_chip,mackerel,0.0
black_currant,mackerel,0.0
chicory,mackerel,0.0
cucumber,mackerel,0.0
pimenta,mackerel,0.0
sumac,mackerel,0.0
roasted_pork,mackerel,0.0
grapefruit,mackerel,0.0
kumquat,mackerel,0.0
holy_basil,mackerel,0.0
zucchini,mackerel,0.0
palm,mackerel,0.0
lard,mackerel,0.0
pea,mackerel,0.0
rum,mackerel,0.0
pelargonium,mackerel,0.0
smoked_salmon,mackerel,0.0
oatmeal,mackerel,0.0
chinese_cabbage,mackerel,0.0015923566879
vegetable_oil,mackerel,0.0031847133758
green_bell_pepper,mackerel,0.0
beef_liver,mackerel,0.0
cream_cheese,mackerel,0.0
apricot,mackerel,0.0
peppermint,mackerel,0.0
sea_algae,mackerel,0.0
dill,mackerel,0.000752162467093
peach,mackerel,0.0
saffron,mackerel,0.0
mustard,mackerel,0.00154834081104
gardenia,mackerel,0.0
strawberry_juice,mackerel,0.0
emmental_cheese,mackerel,0.0
wheat_bread,mackerel,0.0
cabernet_sauvignon_wine,mackerel,0.0
peanut,mackerel,0.0
geranium,mackerel,0.0
smoked_fish,mackerel,0.0
asparagus,mackerel,0.0
wheat,mackerel,0.00314069749894
tarragon,mackerel,0.0
soy_sauce,mackerel,0.0015923566879
buckwheat,mackerel,0.0
popcorn,mackerel,0.0
mussel,mackerel,0.0
peppermint_oil,mackerel,0.0
apple,mackerel,0.0
lime,mackerel,0.0
rutabaga,mackerel,0.0
crab,mackerel,0.0
tangerine,mackerel,0.0
carrot,mackerel,0.0
lamb,mackerel,0.0
rhubarb,mackerel,0.0
kohlrabi,mackerel,0.0
cardamom,mackerel,0.0
