Cuisine,mackerel,black_pepper,peanut_butter,black_mustard_seed_oil,celery_oil,red_bean,almond,bacon,lavender,litchi,jasmine,maple_syrup,smoke,soybean,blueberry,red_kidney_bean,pecan,smoked_sausage,chayote,honey,cottage_cheese,hop,wine,orange_juice,roasted_sesame_seed,avocado,tomato_juice,fig,savory,coffee,bread,meat,thyme,citrus_peel,rosemary,prawn,turnip,sweet_potato,black_sesame_seed,roasted_hazelnut,raisin,garlic,cheddar_cheese,pimento,lettuce,tamarind,licorice,cereal,hazelnut,ginger,seed,mint,goat_cheese,watercress,macadamia_nut,pineapple,armagnac,tequila,sage,fennel,chamomile,shellfish,milk_fat,celery,mung_bean,rice,sour_milk,watermelon,sheep_cheese,bay,grape_juice,nut,yogurt,lemon_peel,huckleberry,cod,lime_juice,beef,shiitake,parsley,beer,horseradish,beet,basil,roasted_beef,mushroom,baked_potato,chervil,carnation,vegetable,papaya,tuna,butter,orange_peel,kale,ham,cherry,cognac,galanga,okra,eel,bartlett_pear,lingonberry,plum,octopus,gin,whiskey,cacao,strawberry_jam,leek,rapeseed,caraway,potato,cherry_brandy,lemon_juice,sunflower_oil,anise_seed,milk,grape,camembert_cheese,melon,thai_pepper,yeast,grape_brandy,pork,currant,frankfurter,corn,corn_flake,root,cinnamon,carob,radish,raspberry,sake,olive,spearmint,gelatin,date,mango,coconut_oil,chickpea,beef_broth,rye_flour,kelp,cheese,bitter_orange,cassava,cane_molasses,coconut,port_wine,egg,rye_bread,beech,nectarine,pumpkin,cumin,mutton,roasted_peanut,roasted_meat,mandarin,brassica,berry,tabasco_pepper,turkey,red_wine,squash,jamaican_rum,passion_fruit,macaroni,catfish,lemon,salmon_roe,brown_rice,veal,cilantro,rose,cayenne,endive,clam,blackberry,lobster,chicken_liver,shrimp,pistachio,swiss_cheese,chive,white_bread,cured_pork,anise,strawberry,cream,angelica,roasted_almond,pear,brandy,brussels_sprout,porcini,lima_bean,kidney_bean,apple_brandy,egg_noodle,tea,bergamot,sesame_oil,guava,roquefort_cheese,herring,malt,enokidake,durian,muscat_grape,turmeric,katsuobushi,raw_beef,ouzo,wasabi,juniper_berry,chicken_broth,fish,lemongrass,flower,roasted_nut,quince,concord_grape,fruit,black_tea,orange_flower,scallion,banana,gruyere_cheese,blackberry_brandy,haddock,kiwi,corn_grit,sherry,salmon,mace,oyster,soybean_oil,laurel,elderberry,blue_cheese,olive_oil,scallop,pear_brandy,provolone_cheese,red_algae,buttermilk,vinegar,liver,potato_chip,black_currant,chicory,cucumber,pimenta,sumac,roasted_pork,grapefruit,kumquat,holy_basil,zucchini,palm,lard,pea,rum,pelargonium,smoked_salmon,oatmeal,chinese_cabbage,vegetable_oil,green_bell_pepper,beef_liver,cream_cheese,apricot,peppermint,sea_algae,dill,peach,saffron,mustard,gardenia,strawberry_juice,emmental_cheese,wheat_bread,cabernet_sauvignon_wine,peanut,geranium,smoked_fish,asparagus,wheat,tarragon,soy_sauce,buckwheat,popcorn,mussel,peppermint_oil,apple,lime,rutabaga,crab,tangerine,carrot,lamb,rhubarb,kohlrabi,cardamom,mozzarella_cheese,cabbage,pork_sausage,tomato,peanut_oil,artichoke,walnut,orange,roasted_pecan,citrus,coriander,cider,lentil,whole_grain_wheat_flour,mate,barley,bell_pepper,parsnip,romano_cheese,shallot,clove,bone_oil,matsutake,seaweed,sour_cherry,chicken,sauerkraut,bean,bourbon_whiskey,nutmeg,violet,japanese_plum,cauliflower,sassafras,jasmine_tea,prickly_pear,black_raspberry,marjoram,oregano,yam,wood,vanilla,parmesan_cheese,pork_liver,squid,sesame_seed,fenugreek,balm,broccoli,feta_cheese,white_wine,oat,nira,lovage,onion,leaf,truffle,pepper,champagne_wine,black_bean,cranberry,mandarin_peel,green_tea,cocoa,caviar,sturgeon_caviar,lime_peel_oil,artemisia,lilac_flower_oil,cashew,star_anise,munster_cheese,Recipes,starch,condiment
NorthernEuropean,0,33,0,0,1,0,46,3,0,0,0,0,3,0,2,0,4,0,0,2,0,0,3,4,0,2,0,0,0,3,14,2,3,0,1,0,2,0,0,0,12,8,1,0,7,3,1,1,1,12,14,1,0,0,0,1,0,0,1,4,0,0,6,5,0,4,0,0,0,6,0,1,2,1,0,0,2,13,0,12,1,2,10,0,1,1,0,1,0,3,0,0,160,3,0,5,4,1,0,0,0,0,5,6,0,0,1,0,0,2,0,12,28,0,16,0,4,56,0,0,0,0,23,0,10,3,0,9,1,0,38,0,3,2,0,2,0,5,1,0,0,0,4,18,0,4,1,0,31,4,5,132,9,0,0,0,8,0,0,0,0,0,2,1,1,8,1,0,0,1,0,12,1,0,3,1,0,0,0,1,2,0,0,9,0,0,8,2,1,0,2,72,0,0,3,6,0,0,0,0,0,1,1,0,0,0,0,7,0,0,0,0,5,0,0,0,0,3,3,6,0,0,0,0,0,3,0,0,4,1,0,0,0,0,0,3,5,1,0,0,0,0,1,11,1,0,0,0,8,38,0,0,0,0,11,0,0,1,0,0,0,0,0,13,4,2,0,5,0,0,33,1,0,2,1,0,0,27,0,1,21,0,0,0,0,0,0,0,0,0,145,2,0,0,0,2,0,14,0,1,1,0,14,3,1,0,33,0,8,2,6,0,0,8,18,0,2,9,7,0,3,0,1,5,1,1,4,0,0,0,0,1,3,0,2,1,14,0,0,2,0,0,0,0,0,0,0,0,38,0,0,0,0,5,0,0,0,13,5,0,1,39,0,0,29,0,0,1,0,0,6,1,0,0,0,0,0,0,0,250.0,11.0,0.0
WesternEuropean,4,548,6,0,49,1,184,167,22,1,0,9,29,10,11,0,29,14,0,87,8,1,59,46,5,5,0,14,24,48,301,96,273,1,82,0,28,12,2,0,153,510,54,1,56,54,0,3,45,100,75,37,24,11,1,20,6,1,28,72,1,1,143,140,0,46,0,4,1,177,38,41,28,48,0,12,15,219,17,376,30,13,8,107,11,145,0,20,0,65,2,23,1395,41,2,80,48,36,0,0,0,2,1,25,1,4,15,1,1,89,0,36,300,11,249,0,9,693,13,8,1,0,138,0,83,47,7,128,2,5,210,0,27,54,15,81,0,53,13,9,0,1,112,6,0,165,16,0,247,20,6,1303,2,0,2,22,46,1,0,0,1,2,8,21,7,125,10,1,0,34,0,157,2,2,33,13,5,79,21,16,6,9,8,39,23,46,120,20,6,38,50,640,0,0,25,54,2,9,4,8,12,10,7,1,13,0,6,0,4,4,0,0,35,0,0,0,2,10,157,103,5,5,0,3,0,43,2,5,69,24,18,1,4,15,1,49,26,7,12,0,0,1,7,455,26,1,3,0,82,360,6,0,1,31,82,0,0,3,5,3,0,38,0,174,46,52,0,9,4,2,392,12,1,50,40,0,0,33,16,25,252,0,2,1,5,1,7,0,0,29,1278,72,32,3,1,32,0,127,7,8,11,9,253,41,9,0,17,44,66,39,314,7,14,83,97,0,26,55,44,16,35,0,12,153,15,5,169,0,9,2,1,7,152,28,69,6,155,0,1,13,0,0,0,0,15,33,0,2,379,86,1,8,8,35,0,23,6,211,35,1,0,720,3,9,279,9,1,17,1,5,186,4,0,0,1,0,4,10,1,2659.0,117.0,0.0
SouthernEuropean,0,1039,0,0,13,0,210,125,4,0,0,1,67,21,7,0,17,11,0,134,40,0,127,60,5,11,16,33,10,52,499,73,378,0,372,1,7,4,0,0,67,2181,49,23,61,32,0,1,54,36,46,125,54,7,0,12,1,3,122,293,0,2,134,227,0,226,0,4,1,188,162,181,70,107,1,22,24,318,37,1025,7,5,11,1059,13,320,0,5,0,102,1,39,1020,69,29,192,36,2,0,2,0,3,0,17,10,0,4,2,0,50,3,4,211,1,442,1,22,525,27,0,8,2,225,8,117,24,0,177,4,5,171,0,10,26,0,360,1,52,11,7,0,55,70,5,0,652,5,7,95,23,2,1097,3,0,2,20,101,0,0,0,1,4,11,18,54,277,46,0,0,978,1,344,1,5,72,66,3,327,34,88,10,16,12,145,27,8,71,42,124,47,36,523,0,1,23,34,8,46,11,36,0,10,0,0,1,1,1,0,0,0,0,0,22,0,0,8,0,6,439,255,1,4,0,7,0,25,0,4,155,7,4,0,2,2,2,91,12,2,11,0,0,0,53,2612,42,2,56,0,71,417,8,0,1,39,91,2,1,5,4,1,0,160,1,76,104,36,0,10,1,1,315,172,0,69,27,1,0,61,14,71,74,0,0,0,6,2,2,0,0,66,1027,35,13,0,0,40,0,24,20,0,13,0,233,78,2,0,8,419,39,269,1593,4,113,82,139,0,15,50,10,22,40,0,4,737,4,143,140,2,3,4,1,4,339,0,173,1,125,0,0,18,0,0,0,0,38,643,4,1,269,1007,0,44,24,12,0,78,162,486,4,1,4,1451,1,19,459,8,4,14,0,0,139,0,0,2,0,0,2,3,0,4180.0,65.0,0.0
MiddleEastern,0,145,0,0,0,0,52,0,0,0,0,2,5,4,0,0,11,1,0,43,6,0,8,35,26,3,3,10,1,9,70,12,35,0,17,0,8,15,0,0,40,212,1,0,16,2,0,0,9,37,21,73,1,2,0,3,0,0,7,10,0,0,13,25,0,27,0,0,0,22,8,26,57,26,0,2,12,48,1,134,1,9,8,14,3,8,0,2,0,23,0,2,165,15,0,0,1,0,0,1,0,0,0,14,0,0,1,0,0,21,0,10,48,0,160,1,1,43,2,0,1,2,21,0,2,6,0,13,2,3,124,0,5,7,0,25,0,3,19,1,0,35,5,4,0,8,0,0,35,9,0,239,0,0,0,4,115,0,0,0,2,2,1,1,3,30,12,0,0,12,1,88,0,1,6,65,18,73,2,0,4,0,3,4,21,0,13,1,0,0,17,44,0,0,7,11,0,4,1,2,0,10,3,0,0,0,0,0,1,0,0,0,35,0,0,0,0,0,57,20,2,1,0,3,0,5,1,3,57,4,0,0,0,0,0,4,4,3,0,0,0,0,0,262,1,0,0,0,0,42,1,0,0,1,33,0,9,0,1,0,0,30,0,16,10,3,0,2,0,0,132,10,0,9,30,0,0,39,1,16,6,0,0,0,0,1,0,0,0,10,272,5,4,1,0,0,0,31,5,1,1,1,63,48,2,1,26,5,6,1,110,3,6,51,36,0,1,58,4,10,8,0,3,68,8,0,12,1,4,0,0,1,64,0,9,0,17,0,0,5,0,0,0,0,5,19,7,0,45,7,0,0,26,14,0,2,15,20,1,0,0,221,1,0,87,1,1,3,0,0,23,1,0,0,0,0,2,1,0,645.0,31.0,2.0
SouthAsian,0,122,4,25,5,0,26,1,0,0,3,0,3,9,2,0,0,0,0,14,0,0,4,2,0,0,1,0,1,3,15,9,4,0,1,4,4,6,0,0,35,295,1,0,9,32,0,0,0,264,50,47,1,2,0,8,0,0,1,17,0,0,12,21,1,101,0,2,0,41,3,10,148,1,0,4,33,18,0,20,0,0,2,4,3,6,0,0,0,24,1,0,132,1,1,0,1,0,1,9,0,0,0,1,0,0,0,0,0,1,0,3,74,0,94,4,3,61,6,0,2,1,10,0,4,5,0,22,0,1,107,0,4,1,0,1,0,2,2,50,3,28,4,0,0,5,1,0,30,85,0,49,0,0,0,3,375,0,6,0,0,4,3,3,3,4,3,0,1,5,0,19,0,6,0,180,6,300,0,3,1,1,0,24,9,0,5,1,0,0,3,59,0,0,5,2,0,1,2,5,0,0,8,0,7,0,0,0,1,0,0,0,319,0,0,0,0,0,45,13,2,0,0,0,0,1,5,0,37,5,0,0,1,2,0,5,9,4,0,0,0,0,0,93,5,0,0,0,9,55,0,1,0,1,25,0,0,0,0,0,0,13,2,5,49,1,0,0,0,0,265,13,0,2,8,2,0,2,8,17,59,0,0,0,1,0,9,0,0,3,75,0,7,0,0,0,0,20,29,0,4,0,57,22,0,0,96,0,5,0,176,6,0,4,7,0,0,294,13,32,9,0,3,106,2,0,10,0,0,0,0,0,131,0,14,0,19,0,0,27,0,0,0,0,0,4,3,0,15,4,0,0,3,173,0,4,3,11,0,0,0,316,0,0,188,0,0,2,0,0,5,0,0,2,0,0,30,2,0,621.0,7.0,0.0
LatinAmerican,0,576,7,0,40,0,57,90,0,0,0,1,25,6,2,9,33,8,11,64,22,0,15,82,1,288,20,1,0,24,132,60,72,0,21,0,2,13,0,0,50,1752,495,27,173,75,0,1,4,52,96,41,14,5,0,50,0,64,8,20,0,0,47,118,0,215,1,6,0,79,16,12,21,5,0,11,411,475,8,145,30,4,7,82,19,108,1,0,0,53,7,17,416,7,1,37,12,2,0,4,0,1,0,8,1,1,1,0,0,4,0,0,133,0,142,0,17,334,12,0,6,1,63,0,143,1,0,868,2,4,182,0,31,10,6,259,0,8,1,46,1,18,49,0,0,543,8,9,174,59,1,519,0,0,1,18,833,0,8,1,2,4,0,96,82,68,32,0,3,75,4,52,0,26,1,724,0,1946,2,10,3,6,0,89,0,5,26,12,12,9,13,525,0,0,12,15,0,1,11,100,0,9,0,0,5,4,0,0,2,0,0,0,26,2,0,0,2,0,259,66,0,0,0,0,0,10,1,1,385,38,1,0,3,8,50,23,9,1,6,0,0,0,3,556,8,0,0,0,42,397,0,0,0,5,46,0,0,15,12,0,0,56,3,174,38,35,0,1,1,0,732,334,0,111,10,0,0,19,12,5,98,1,0,0,2,0,7,0,0,5,660,4,53,0,4,4,0,26,225,0,21,1,104,10,0,0,0,51,37,80,1579,6,1,19,61,0,10,83,50,8,16,0,2,604,1,2,23,0,0,0,0,0,420,1,288,1,28,0,0,3,0,0,14,0,10,529,2,0,115,37,0,3,22,13,0,10,9,58,6,0,3,1906,2,0,640,2,216,4,0,0,79,0,0,21,0,0,4,0,2,2917.0,49.0,0.0
NorthAmerican,0,6254,917,3,825,0,1658,1717,36,7,4,453,308,330,441,50,2075,218,14,1955,258,2,486,1445,58,318,133,78,87,568,3411,654,2241,0,1387,17,114,427,0,1,1445,10101,2417,217,713,1419,18,198,161,2254,935,487,163,94,99,1490,4,74,730,471,2,1,562,2991,1,1720,45,88,0,906,572,764,700,508,9,93,766,3139,115,3683,229,339,154,2414,163,2506,8,21,3,818,29,318,17088,423,59,944,970,23,5,81,0,17,3,178,0,62,122,32,0,224,0,117,2562,18,3755,1,23,10996,283,4,134,29,2811,0,1300,143,26,3428,211,36,4566,7,108,681,135,1018,4,1274,314,249,13,227,419,92,0,1871,51,2,6876,1361,35,16738,73,0,45,589,1449,2,103,14,268,63,157,800,736,823,433,0,15,1924,59,2221,4,287,74,892,26,3897,54,211,142,90,25,790,130,458,1033,284,170,124,948,8124,1,2,299,262,77,44,117,288,25,236,77,6,330,8,16,3,28,0,0,1,623,1,0,1,44,9,2252,656,30,18,1,13,12,375,24,4,2293,885,19,3,18,74,108,394,345,89,162,2,2,4,331,5553,161,8,107,0,1418,5666,24,64,8,61,1212,0,4,93,91,21,0,759,17,2552,751,463,1,64,52,1,7808,1980,7,2567,458,139,0,879,476,61,3476,0,0,0,67,13,337,1,6,309,16532,355,1620,19,92,46,8,2129,702,21,449,21,2333,210,155,3,165,764,596,941,5822,100,256,2444,1302,1,90,707,966,150,614,1,162,3751,102,124,721,7,7,0,13,32,3737,126,1177,147,2120,4,0,252,18,1,6,8,440,1938,64,30,8081,2014,3,21,364,509,3,744,420,1291,1216,0,133,12311,2,24,7000,75,222,871,2,12,4338,16,1,68,0,1,149,37,24,41524.0,1920.0,5.0
EasternEuropean,0,88,0,0,6,0,15,29,0,0,0,0,9,0,0,0,3,16,0,13,13,0,1,4,1,0,3,0,3,5,28,14,12,0,2,0,3,2,0,0,30,88,9,0,4,10,0,0,10,6,36,3,0,1,0,0,0,0,3,1,0,0,22,22,0,19,0,0,0,18,2,5,6,5,0,1,2,49,2,47,1,9,22,5,3,24,0,0,0,9,0,0,201,3,0,3,7,0,0,1,0,0,0,9,0,0,4,0,0,4,0,21,73,4,25,0,0,94,0,0,0,0,48,0,20,5,0,15,0,1,34,0,2,2,0,3,0,4,0,0,0,1,20,4,0,21,0,0,25,1,0,197,4,0,0,1,7,0,0,0,0,0,0,5,2,14,0,0,0,7,0,32,2,1,5,3,0,13,0,2,1,0,3,0,2,5,17,5,1,2,5,111,0,0,1,6,2,1,0,1,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,6,0,0,0,0,0,8,1,0,10,2,1,0,1,0,1,1,2,4,0,0,0,0,0,37,1,0,0,0,3,50,1,0,1,0,9,0,0,3,0,0,0,1,0,23,5,7,0,2,0,0,82,20,0,19,18,0,0,43,0,1,15,0,0,0,1,0,0,0,0,1,197,1,2,6,0,0,0,18,0,1,0,0,27,8,0,1,1,4,39,17,63,0,0,21,11,0,1,2,7,1,1,0,1,50,3,0,6,0,1,0,0,2,25,28,3,0,13,1,0,0,0,0,0,0,13,4,0,0,56,3,0,0,1,2,0,0,2,16,0,0,1,162,0,0,52,3,0,2,0,0,19,2,0,0,0,0,1,0,0,381.0,10.0,0.0
SoutheastAsian,0,88,37,0,9,0,3,0,0,0,0,1,0,26,0,0,1,0,1,24,0,0,20,1,2,1,0,0,0,2,24,6,3,0,2,3,0,3,0,0,4,284,1,0,33,22,0,0,0,153,11,74,0,5,2,9,0,0,2,1,0,0,1,10,3,163,0,0,0,12,2,8,2,3,0,0,132,53,14,8,0,0,0,75,3,26,0,1,0,6,5,2,32,0,1,1,0,0,28,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,26,0,0,20,0,0,0,40,8,0,39,0,0,22,0,14,14,0,12,0,3,1,0,0,0,17,0,0,6,0,0,3,0,1,53,129,0,62,0,0,0,5,101,0,36,0,1,0,0,10,1,1,5,0,0,17,3,17,0,1,0,163,0,191,0,4,0,0,0,81,0,0,7,0,0,1,0,16,0,0,1,0,1,0,0,0,0,3,3,0,48,0,0,0,0,0,1,0,90,0,0,0,0,0,72,226,96,0,0,0,0,1,0,0,128,8,0,0,0,0,0,6,4,1,20,0,0,0,0,36,5,0,1,0,0,98,0,0,0,1,52,0,0,2,3,0,2,7,13,1,20,1,0,0,0,0,180,11,0,1,1,0,0,2,0,1,7,0,0,0,0,0,42,0,0,5,41,1,144,1,0,6,0,4,84,0,10,2,70,3,0,0,3,1,29,2,54,23,0,1,3,0,0,122,7,0,1,0,0,70,0,0,69,0,1,0,0,0,136,0,62,0,3,1,0,0,0,0,0,0,2,5,2,0,7,1,1,7,10,70,0,7,0,18,0,0,0,126,0,0,123,0,1,0,1,0,0,0,0,2,0,0,5,16,0,457.0,24.0,0.0
African,0,98,13,0,0,0,44,1,0,0,0,0,5,1,0,0,2,0,0,42,1,0,4,12,3,1,0,2,0,1,22,7,17,0,4,1,9,11,0,0,47,160,0,2,2,3,0,0,4,84,22,33,2,0,0,3,0,0,1,16,0,0,5,13,0,25,0,0,0,15,3,7,7,8,0,8,10,31,0,70,0,0,3,8,1,3,0,2,0,14,1,2,68,7,0,0,0,0,0,2,0,0,0,12,1,0,0,0,0,5,0,26,20,0,81,1,1,22,0,0,0,1,9,0,1,7,0,7,0,0,114,0,2,0,0,44,0,3,11,4,0,39,7,1,0,3,0,3,11,9,0,48,0,0,0,2,166,0,6,0,0,3,0,1,2,18,15,0,1,9,0,57,0,1,2,80,5,116,0,0,0,2,0,6,6,0,1,2,0,2,0,14,0,0,4,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,1,58,21,1,2,0,2,0,1,0,1,16,4,0,0,2,0,0,3,2,2,0,0,0,0,0,196,0,0,0,0,0,29,0,0,0,0,8,0,0,0,0,2,0,25,0,7,9,1,0,0,0,0,60,13,0,1,23,0,0,2,1,38,8,0,0,0,1,0,3,0,0,0,114,0,3,0,0,1,1,6,4,2,0,0,49,46,0,0,19,0,4,1,100,7,1,7,15,0,1,104,1,10,4,0,4,103,3,0,8,0,2,0,0,0,71,0,10,0,12,0,0,4,0,0,0,0,5,4,2,0,8,5,0,1,12,19,0,3,4,12,0,0,0,189,0,0,67,0,1,2,0,0,2,0,0,3,0,0,0,1,0,352.0,5.0,2.0
